category,case,trial,expected_accepted,accepted,reason,expected_failed_check,observed_failed_check,leaf_signature_valid,latency_ms,passed
valid_control,valid_monotone,1,True,True,valid chain of delegation,,,True,2.01975,True
valid_control,valid_monotone,2,True,True,valid chain of delegation,,,True,1.351792,True
valid_control,valid_monotone,3,True,True,valid chain of delegation,,,True,1.680041,True
valid_control,valid_monotone,4,True,True,valid chain of delegation,,,True,2.043208,True
valid_control,valid_monotone,5,True,True,valid chain of delegation,,,True,1.632042,True
valid_control,valid_monotone,6,True,True,valid chain of delegation,,,True,1.485542,True
valid_control,valid_monotone,7,True,True,valid chain of delegation,,,True,2.154417,True
valid_control,valid_monotone,8,True,True,valid chain of delegation,,,True,2.304333,True
valid_control,valid_monotone,9,True,True,valid chain of delegation,,,True,2.555958,True
valid_control,valid_monotone,10,True,True,valid chain of delegation,,,True,2.710541,True
valid_control,valid_monotone,11,True,True,valid chain of delegation,,,True,1.757208,True
valid_control,valid_monotone,12,True,True,valid chain of delegation,,,True,1.949292,True
valid_control,valid_monotone,13,True,True,valid chain of delegation,,,True,1.578584,True
valid_control,valid_monotone,14,True,True,valid chain of delegation,,,True,1.369042,True
valid_control,valid_monotone,15,True,True,valid chain of delegation,,,True,1.355084,True
valid_control,valid_monotone,16,True,True,valid chain of delegation,,,True,1.25325,True
valid_control,valid_monotone,17,True,True,valid chain of delegation,,,True,1.234583,True
valid_control,valid_monotone,18,True,True,valid chain of delegation,,,True,1.224125,True
valid_control,valid_monotone,19,True,True,valid chain of delegation,,,True,1.286125,True
valid_control,valid_monotone,20,True,True,valid chain of delegation,,,True,1.352084,True
valid_control,valid_monotone,21,True,True,valid chain of delegation,,,True,1.243084,True
valid_control,valid_monotone,22,True,True,valid chain of delegation,,,True,1.175875,True
valid_control,valid_monotone,23,True,True,valid chain of delegation,,,True,1.128917,True
valid_control,valid_monotone,24,True,True,valid chain of delegation,,,True,1.165375,True
valid_control,valid_monotone,25,True,True,valid chain of delegation,,,True,1.154625,True
valid_control,valid_monotone,26,True,True,valid chain of delegation,,,True,1.210875,True
valid_control,valid_monotone,27,True,True,valid chain of delegation,,,True,1.05425,True
valid_control,valid_monotone,28,True,True,valid chain of delegation,,,True,1.012416,True
valid_control,valid_monotone,29,True,True,valid chain of delegation,,,True,0.974833,True
valid_control,valid_monotone,30,True,True,valid chain of delegation,,,True,0.963959,True
valid_control,valid_monotone,31,True,True,valid chain of delegation,,,True,1.029834,True
valid_control,valid_monotone,32,True,True,valid chain of delegation,,,True,1.10075,True
valid_control,valid_monotone,33,True,True,valid chain of delegation,,,True,0.971041,True
valid_control,valid_monotone,34,True,True,valid chain of delegation,,,True,1.0315,True
valid_control,valid_monotone,35,True,True,valid chain of delegation,,,True,1.0445,True
valid_control,valid_monotone,36,True,True,valid chain of delegation,,,True,1.002667,True
valid_control,valid_monotone,37,True,True,valid chain of delegation,,,True,0.968458,True
valid_control,valid_monotone,38,True,True,valid chain of delegation,,,True,1.428125,True
valid_control,valid_monotone,39,True,True,valid chain of delegation,,,True,1.139125,True
valid_control,valid_monotone,40,True,True,valid chain of delegation,,,True,0.9815,True
valid_control,valid_monotone,41,True,True,valid chain of delegation,,,True,0.935125,True
valid_control,valid_monotone,42,True,True,valid chain of delegation,,,True,1.018292,True
valid_control,valid_monotone,43,True,True,valid chain of delegation,,,True,1.004167,True
valid_control,valid_monotone,44,True,True,valid chain of delegation,,,True,0.962959,True
valid_control,valid_monotone,45,True,True,valid chain of delegation,,,True,1.058042,True
valid_control,valid_monotone,46,True,True,valid chain of delegation,,,True,0.921,True
valid_control,valid_monotone,47,True,True,valid chain of delegation,,,True,0.91375,True
valid_control,valid_monotone,48,True,True,valid chain of delegation,,,True,0.991125,True
valid_control,valid_monotone,49,True,True,valid chain of delegation,,,True,0.900875,True
valid_control,valid_monotone,50,True,True,valid chain of delegation,,,True,0.9935,True
valid_control,valid_monotone,51,True,True,valid chain of delegation,,,True,1.130542,True
valid_control,valid_monotone,52,True,True,valid chain of delegation,,,True,1.212292,True
valid_control,valid_monotone,53,True,True,valid chain of delegation,,,True,1.000125,True
valid_control,valid_monotone,54,True,True,valid chain of delegation,,,True,1.11275,True
valid_control,valid_monotone,55,True,True,valid chain of delegation,,,True,0.96075,True
valid_control,valid_monotone,56,True,True,valid chain of delegation,,,True,0.902042,True
valid_control,valid_monotone,57,True,True,valid chain of delegation,,,True,0.895041,True
valid_control,valid_monotone,58,True,True,valid chain of delegation,,,True,1.122625,True
valid_control,valid_monotone,59,True,True,valid chain of delegation,,,True,0.942333,True
valid_control,valid_monotone,60,True,True,valid chain of delegation,,,True,0.819583,True
valid_control,valid_monotone,61,True,True,valid chain of delegation,,,True,0.857792,True
valid_control,valid_monotone,62,True,True,valid chain of delegation,,,True,0.830667,True
valid_control,valid_monotone,63,True,True,valid chain of delegation,,,True,0.862125,True
valid_control,valid_monotone,64,True,True,valid chain of delegation,,,True,0.905792,True
valid_control,valid_monotone,65,True,True,valid chain of delegation,,,True,1.017583,True
valid_control,valid_monotone,66,True,True,valid chain of delegation,,,True,1.005416,True
valid_control,valid_monotone,67,True,True,valid chain of delegation,,,True,0.875875,True
valid_control,valid_monotone,68,True,True,valid chain of delegation,,,True,0.9095,True
valid_control,valid_monotone,69,True,True,valid chain of delegation,,,True,0.849791,True
valid_control,valid_monotone,70,True,True,valid chain of delegation,,,True,0.900125,True
valid_control,valid_monotone,71,True,True,valid chain of delegation,,,True,0.911458,True
valid_control,valid_monotone,72,True,True,valid chain of delegation,,,True,1.097542,True
valid_control,valid_monotone,73,True,True,valid chain of delegation,,,True,1.030958,True
valid_control,valid_monotone,74,True,True,valid chain of delegation,,,True,0.866917,True
valid_control,valid_monotone,75,True,True,valid chain of delegation,,,True,0.853709,True
valid_control,valid_monotone,76,True,True,valid chain of delegation,,,True,0.877791,True
valid_control,valid_monotone,77,True,True,valid chain of delegation,,,True,0.837959,True
valid_control,valid_monotone,78,True,True,valid chain of delegation,,,True,0.894875,True
valid_control,valid_monotone,79,True,True,valid chain of delegation,,,True,1.023208,True
valid_control,valid_monotone,80,True,True,valid chain of delegation,,,True,1.095542,True
valid_control,valid_monotone,81,True,True,valid chain of delegation,,,True,0.934167,True
valid_control,valid_monotone,82,True,True,valid chain of delegation,,,True,0.883708,True
valid_control,valid_monotone,83,True,True,valid chain of delegation,,,True,0.8555,True
valid_control,valid_monotone,84,True,True,valid chain of delegation,,,True,0.835042,True
valid_control,valid_monotone,85,True,True,valid chain of delegation,,,True,0.882959,True
valid_control,valid_monotone,86,True,True,valid chain of delegation,,,True,0.870959,True
valid_control,valid_monotone,87,True,True,valid chain of delegation,,,True,1.102042,True
valid_control,valid_monotone,88,True,True,valid chain of delegation,,,True,0.976041,True
valid_control,valid_monotone,89,True,True,valid chain of delegation,,,True,0.877792,True
valid_control,valid_monotone,90,True,True,valid chain of delegation,,,True,0.920209,True
valid_control,valid_monotone,91,True,True,valid chain of delegation,,,True,0.863417,True
valid_control,valid_monotone,92,True,True,valid chain of delegation,,,True,0.897292,True
valid_control,valid_monotone,93,True,True,valid chain of delegation,,,True,0.900917,True
valid_control,valid_monotone,94,True,True,valid chain of delegation,,,True,1.013584,True
valid_control,valid_monotone,95,True,True,valid chain of delegation,,,True,1.010625,True
valid_control,valid_monotone,96,True,True,valid chain of delegation,,,True,0.904416,True
valid_control,valid_monotone,97,True,True,valid chain of delegation,,,True,0.929666,True
valid_control,valid_monotone,98,True,True,valid chain of delegation,,,True,0.819,True
valid_control,valid_monotone,99,True,True,valid chain of delegation,,,True,0.959667,True
valid_control,valid_monotone,100,True,True,valid chain of delegation,,,True,0.9415,True
valid_control,valid_monotone,101,True,True,valid chain of delegation,,,True,1.099875,True
valid_control,valid_monotone,102,True,True,valid chain of delegation,,,True,0.889542,True
valid_control,valid_monotone,103,True,True,valid chain of delegation,,,True,0.945292,True
valid_control,valid_monotone,104,True,True,valid chain of delegation,,,True,0.821833,True
valid_control,valid_monotone,105,True,True,valid chain of delegation,,,True,0.859333,True
valid_control,valid_monotone,106,True,True,valid chain of delegation,,,True,0.869708,True
valid_control,valid_monotone,107,True,True,valid chain of delegation,,,True,0.857083,True
valid_control,valid_monotone,108,True,True,valid chain of delegation,,,True,0.852958,True
valid_control,valid_monotone,109,True,True,valid chain of delegation,,,True,0.9935,True
valid_control,valid_monotone,110,True,True,valid chain of delegation,,,True,0.911459,True
valid_control,valid_monotone,111,True,True,valid chain of delegation,,,True,0.832458,True
valid_control,valid_monotone,112,True,True,valid chain of delegation,,,True,0.8355,True
valid_control,valid_monotone,113,True,True,valid chain of delegation,,,True,0.81575,True
valid_control,valid_monotone,114,True,True,valid chain of delegation,,,True,0.824333,True
valid_control,valid_monotone,115,True,True,valid chain of delegation,,,True,0.833084,True
valid_control,valid_monotone,116,True,True,valid chain of delegation,,,True,1.041333,True
valid_control,valid_monotone,117,True,True,valid chain of delegation,,,True,0.928292,True
valid_control,valid_monotone,118,True,True,valid chain of delegation,,,True,0.837792,True
valid_control,valid_monotone,119,True,True,valid chain of delegation,,,True,0.839,True
valid_control,valid_monotone,120,True,True,valid chain of delegation,,,True,0.829208,True
valid_control,valid_monotone,121,True,True,valid chain of delegation,,,True,0.813417,True
valid_control,valid_monotone,122,True,True,valid chain of delegation,,,True,0.801875,True
